SERIALNO,hhnum,PUMA,REGION,NP,NW,HHINCADJ,WGTP,HTYPE
2013000037373,362,00100,1,2,0,75506.1381,16,SF
2013000037393,363,01319,1,1,1,26549.275,20,MF
2013000037397,364,01301,1,4,4,29735.188,31,SF
2013000037405,365,01104,1,2,2,109383.013,12,SF
2013000037428,366,01314,1,1,1,65842.202,12,MF
2013000037477,367,01317,1,3,1,22407.5881,20,SF
2013000037515,368,01301,1,3,2,108108.6478,16,SF
2013000037575,369,00200,1,4,2,41416.869,18,SF
2013000037646,370,01318,1,4,1,267616.692,14,SF
2013000038013,371,00800,1,1,0,13805.623,29,MH
2013000038038,372,01000,1,2,0,87612.6075,25,SF
2013000038267,373,00100,1,2,2,42903.6284,10,SF
2013000038846,374,00300,1,2,0,13805.623,12,MH
2013000038991,375,00705,1,1,0,10779.00565,16,SF
2013000039003,376,00500,1,2,1,111188.3637,12,SF
2013000039262,377,00800,1,2,0,16248.1563,9,MH
2013000039302,378,01321,1,1,0,54914.52041,11,SF
2013000039310,379,01318,1,2,1,46195.7385,65,SF
2013000039374,380,01321,1,2,0,47470.1037,13,DUP
2013000039422,381,01322,1,2,2,92922.4625,25,SF
2013000039574,382,01318,1,4,2,63718.26,14,SF
2013000039682,383,01200,1,2,1,60532.347,5,SF
2013000039763,384,00500,1,5,1,89630.3524,15,SF
2013000039780,385,01320,1,6,2,52036.579,29,SF
2013000039832,386,00400,1,2,0,33345.8894,14,DUP
2013000039845,387,01104,1,5,0,10725.9071,74,MH
2013000039892,388,01321,1,4,1,35682.2256,12,SF
2013000040033,389,00100,1,4,1,25805.8953,15,SF
2013000040053,390,00902,1,2,0,113630.897,37,SF
2013000040165,391,00600,1,4,1,93134.8567,26,SF
2013000040209,392,01319,1,4,3,97170.3465,12,SF
2013000040288,393,01103,1,1,1,19646.4635,13,SF
2013000040567,394,00901,1,2,2,24425.333,15,SF
2013000040625,395,01314,1,3,1,92125.98425,14,SF
2013000040648,396,01317,1,1,1,18053.507,16,SF
2013000040728,397,00600,1,1,0,116816.81,17,MF
2013000040916,398,00300,1,1,0,8920.5564,2,MH
2013000041121,399,00704,1,3,2,69983.8889,12,SF
2013000041150,400,00100,1,1,0,14018.0172,13,SF
2013000041313,401,01305,1,1,0,43540.811,13,SF
2013000041400,402,01105,1,2,2,47363.9066,14,MH
2013000041416,403,01104,1,3,2,49912.637,51,SF
2013000041499,404,00600,1,1,1,16199.305634,3,SF
2013000041537,405,00100,1,1,0,21.23942,7,SF
2013000041564,406,01320,1,4,2,152923.824,8,SF
2013000041677,407,01103,1,1,0,130834.8272,14,SF
2013000041778,408,01000,1,1,0,1507.99882,11,MH
2013000041837,409,01200,1,1,0,8920.5564,12,SF
2013000041881,410,00100,1,2,1,31859.13,63,DUP
2013000041913,411,01318,1,1,1,46355.03415,16,DUP
2013000042008,412,00800,1,1,0,10088.7245,14,MH
2013000042022,413,00100,1,1,0,30797.159,6,MH
2013000042066,414,00704,1,5,1,14124.2143,12,MF
2013000042073,415,01301,1,2,1,125524.9722,9,DUP
2013000042209,416,01314,1,1,1,5309.855,23,MF
2013000042216,417,01324,1,4,1,141242.143,27,SF
2013000042774,418,00705,1,2,0,34195.4662,14,SF
2013000042797,419,00800,1,2,1,183720.983,20,SF
2013000043002,420,00902,1,2,2,147624.58871,19,SF
2013000043049,421,00705,1,2,0,23894.3475,11,SF
2013000043051,422,01301,1,1,0,12849.8491,15,MF
2013000043120,423,00500,1,3,2,79647.825,11,SF
2013000043162,424,00600,1,1,0,59364.1789,12,SF
2013000043272,425,01301,1,3,1,40354.898,12,MF
2013000043307,426,00800,1,2,2,77523.883,8,MH
2013000043425,427,00500,1,2,0,116183.875284,47,SF
2013000043446,428,00100,1,2,2,64780.231,2,SF
2013000043467,429,01301,1,1,1,97807.5291,14,MF
2013000043597,430,00703,1,2,2,79647.825,15,SF
2013000043599,431,01000,1,2,1,60967.75511,6,SF
2013000043607,432,01322,1,1,0,10619.71,20,MF
2013000043610,433,00300,1,2,0,28142.2315,11,MH
2013000043654,434,00500,1,2,1,57452.6311,9,SF
2013000043744,435,01323,1,5,1,64567.8368,12,SF
2013000043843,436,01104,1,2,0,25487.304,14,SF
2013000043902,437,01305,1,2,1,72745.0135,24,MF
2013000043913,438,01318,1,3,2,142325.35342,46,SF
2013000043937,439,00400,1,3,2,17628.7186,25,SF
2013000044016,440,00800,1,1,0,21982.7997,16,SF
2013000044057,441,01200,1,2,2,63718.26,21,SF
2013000044078,442,01319,1,4,2,422345.8667,21,SF
2013000044266,443,00300,1,3,1,28779.4141,11,DUP
2013000044391,444,01302,1,3,1,63718.26,70,MF
2013000044551,445,01316,1,3,2,104073.158,17,SF
2013000044612,446,01105,1,1,0,24425.333,23,SF
2013000044721,447,01319,1,6,1,376999.705,12,SF
2013000044753,448,00500,1,1,0,20389.8432,5,SF
2013000044767,449,01324,1,2,2,48850.666,10,MF
2013000044874,450,01319,1,3,1,49912.637,51,MF
2013000044932,451,00500,1,2,2,58408.405,11,SF
2013000045045,452,01321,1,3,0,74231.7729,17,SF
2013000045098,453,00400,1,1,0,52036.579,87,MH
2013000045149,454,01301,1,2,2,115542.4448,13,SF
2013000045468,455,01320,1,2,2,94090.6306,17,SF
2013000045626,456,01301,1,2,2,198588.577,14,SF
2013000045676,457,00600,1,2,1,4715.15124,25,DUP
2013000045710,458,00500,1,2,2,580579.5457,9,SF
2013000045734,459,00100,1,1,1,42478.84,13,MH
2013000045764,460,01301,1,1,1,111719.3492,15,SF
2013000045775,461,00704,1,2,0,70090.086,15,SF
2013000045794,462,00400,1,2,2,109383.013,15,MF
2013000046094,463,00703,1,2,0,69665.2976,15,DUP
2013000046156,464,00100,1,2,2,31009.5532,10,MH
2013000046322,465,01319,1,3,1,92391.477,20,SF
2013000046331,466,01316,1,5,2,25551.02226,30,SF
2013000046443,467,01104,1,2,2,77523.883,13,SF
2013000046523,468,01323,1,4,2,143366.085,14,SF
2013000046543,469,01305,1,3,3,74337.97,13,SF
2013000046586,470,01322,1,2,0,49594.0457,15,SF
2013000046648,471,01322,1,1,0,9026.7535,13,MF
2013000046727,472,01316,1,1,0,39505.3212,22,SF
2013000046764,473,00100,1,2,0,27929.8373,24,MH
2013000046824,474,01103,1,1,0,12743.652,47,SF
2013000047060,475,00901,1,3,1,50974.608,18,SF
2013000047107,476,00703,1,2,1,96533.1639,14,MH
2013000047289,477,00600,1,2,1,376999.705,7,SF
2013000047308,478,01103,1,6,0,48850.666,11,MH
2013000047361,479,00800,1,1,0,18584.4925,10,MH
2013000047381,480,01301,1,2,1,64355.4426,32,SF
2013000047447,481,00600,1,2,1,8485.14829,43,MF
2013000047816,482,01321,1,2,1,52567.5645,26,SF
2013000048126,483,00800,1,1,0,10938.3013,43,SF
2013000048143,484,01104,1,2,1,47257.7095,15,SF
2013000048312,485,01319,1,2,2,73275.999,18,MF
2013000048544,486,00600,1,1,1,11681.681,12,SF
2013000048553,487,01314,1,6,2,140392.5662,5,SF
2013000048589,488,00400,1,5,2,73806.9845,62,SF
2013000048692,489,00704,1,1,0,10407.3158,28,MF
2013000048700,490,00902,1,5,2,58939.3905,5,SF
2013000048715,491,00704,1,2,0,53417.1413,10,SF
2013000048886,492,00300,1,2,2,46195.7385,17,MF
2013000048915,493,00500,1,2,1,82302.7525,4,SF
2013000048996,494,00703,1,1,0,27080.2605,22,SF
2013000049002,495,01103,1,3,3,105772.3116,19,SF
2013000049109,496,01321,1,3,2,61594.318,4,SF
2013000049184,497,00400,1,3,2,91860.4915,8,SF
2013000049266,498,01314,1,2,2,55222.492,24,MF
2013000049292,499,01200,1,4,0,82621.3438,6,SF
2013000049316,500,00901,1,3,1,39292.927,37,SF
