SERIALNO,PUMA5,HWEIGHT,UNITTYPE,PERSONS,BLDGSZ,HINC
46749,1801,32,0,1,8,31140
47046,1805,26,0,1,6,97000
47113,1900,35,0,2,6,80000
47231,1005,29,0,2,2,59900
47268,400,6,0,3,2,30000
47284,1003,23,0,2,2,75270
47338,2003,23,0,2,2,252000
47341,400,8,0,2,2,35530
47381,2004,26,0,2,9,27550
47446,2002,17,0,4,2,101400
47679,700,0,1,1,  ,0
47698,500,40,0,1,9,9200
47703,1805,26,0,2,2,77000
47829,400,5,0,2,1,28500
47844,1300,49,0,2,2,22000
47907,601,17,0,2,2,74000
48027,100,29,0,8,7,74100
48070,700,15,0,2,2,32600
48074,1500,14,0,2,2,67000
48100,2008,6,0,4,2,55050
48147,200,21,0,3,2,59400
48242,1005,23,0,4,2,58500
48288,1100,28,0,2,2,51400
48328,1803,29,0,2,6,61000
48440,700,21,0,4,1,8100
48452,2001,26,0,5,2,74230
48464,601,9,0,2,2,50500
48693,901,26,0,5,2,18600
49045,1201,6,0,1,1,31200
49076,1402,26,0,3,2,82700
49117,1005,6,0,2,1,73700
49132,1403,14,0,5,2,94930
49257,300,20,0,7,2,106600
49268,1001,0,2,1,  ,0
49293,1701,17,0,1,2,10200
49472,1802,17,0,3,8,34000
49510,1802,0,2,1,  ,0
49681,300,26,0,2,2,34530
49794,1100,12,0,2,2,30930
49841,2009,17,0,2,2,120000
49884,1802,14,0,2,2,15110
49949,1005,9,0,1,10,22000
50191,2009,23,0,2,2,78800
50243,1402,6,0,1,2,27400
50281,1100,14,0,0,1,0
50322,1300,24,0,2,4,98700
50429,1804,32,0,2,2,44200
50490,901,9,0,5,1,32500
50656,1401,9,0,2,2,55000
50677,1900,20,0,4,2,148700
50827,1003,38,0,6,1,77000
50880,1801,15,0,2,2,150000
50947,400,6,0,2,2,64000
50953,1100,5,0,1,2,31000
51155,2200,20,0,0,7,0
51249,1004,6,0,2,2,25000
51306,1300,6,0,2,3,8800
51378,1805,30,0,0,8,0
51474,1802,0,2,1,  ,0
51481,1803,29,0,2,4,52570
51566,2200,17,0,1,8,14900
51763,2005,20,0,1,8,9900
51772,400,9,0,2,2,17300
51879,901,20,0,4,2,76200
51957,1803,0,2,1,  ,0
51984,200,6,0,0,1,0
52011,1402,23,0,3,2,45010
52069,2102,29,0,5,2,41100
52689,1002,32,0,5,7,65000
52709,500,32,0,3,2,55600
52738,200,14,0,0,5,0
52817,700,31,0,6,2,40600
52871,2003,23,0,2,2,124200
52889,602,21,0,4,2,36000
53030,2101,23,0,4,2,37600
53041,700,11,0,1,8,8400
53594,100,26,0,1,1,34000
53935,1402,23,0,4,3,43600
54142,2003,29,0,2,2,132300
54163,1600,20,0,0,2,0
54205,2102,23,0,2,2,100030
54318,1500,8,0,1,7,15000
54348,200,23,0,2,2,58000
54376,500,20,0,2,2,23800
54594,2001,17,0,3,2,52000
54785,1500,6,0,2,1,75004
54975,601,28,0,6,2,90400
55028,1005,21,0,2,2,76600
55183,500,26,0,1,5,42900
55221,1002,17,0,2,2,65680
55326,2006,23,0,4,2,98500
55873,2009,20,0,2,2,23520
55948,400,6,0,3,2,63210
56117,1701,26,0,1,7,17600
56174,2009,15,0,3,6,41000
56304,1003,21,0,2,1,53700
56315,1300,23,0,3,2,60200
56357,2002,15,0,1,6,48000
56391,1201,23,0,2,1,28500
56716,100,26,0,1,2,65000
56755,1600,17,0,3,2,38000
56787,2008,23,0,3,2,113000
56882,400,6,0,2,2,41200
56895,1802,17,0,1,1,25900
56915,1401,26,0,1,3,3980
56939,902,18,0,5,2,50000
57004,901,29,0,2,2,207500
57097,700,23,0,4,2,40730
57250,500,24,0,3,2,15900
57563,1100,20,0,2,2,104000
57623,2102,17,0,5,2,39040
57708,1002,26,0,1,6,49000
57776,1801,20,0,0,9,0
57815,200,11,0,4,2,57200
57830,1500,29,0,4,2,51300
57847,700,7,0,0,1,0
57870,1300,20,0,1,9,6300
57985,601,26,0,0,2,0
58019,1600,17,0,1,5,10300
58072,700,7,0,0,2,0
58203,2102,26,0,3,2,57000
58237,1100,20,0,2,2,15000
58244,2001,20,0,2,2,54000
58306,1100,17,0,4,2,68300
58494,2001,26,0,1,7,34270
58552,300,20,0,4,2,54430
58690,500,0,2,1,  ,0
58705,2200,21,0,3,2,54900
58766,2006,23,0,1,2,69830
58878,1702,14,0,5,2,68800
58917,1802,29,0,1,2,2000
59195,100,17,0,3,8,7500
59250,1600,20,0,0,3,0
59300,1403,40,0,0,4,0
59309,400,5,0,1,2,8500
59372,300,14,0,5,1,33000
59391,1900,23,0,4,9,71000
59393,1803,20,0,2,3,98000
59448,200,26,0,3,2,36000
59456,2002,14,0,1,2,28000
59464,1300,10,0,0,6,0
59531,901,6,0,2,2,68000
59558,1804,20,0,2,2,68020
59625,2001,14,0,4,2,89490
59686,1002,20,0,1,2,41900
59749,800,14,0,4,6,10400
59792,1802,18,0,1,2,102000
60017,400,6,0,2,2,60000
60113,2200,26,0,2,2,46390
60153,602,20,0,6,2,124600
60266,1900,20,0,3,4,110000
60286,1600,0,1,1,  ,0
60407,1002,37,0,3,4,24000
60660,2008,12,0,4,2,104130
60799,2005,26,0,2,2,30100
61169,100,26,0,1,2,79080
61228,400,6,0,2,2,89600
61476,2009,20,0,1,2,9400
61567,2001,14,0,2,5,0
61637,2003,23,0,2,2,152800
61690,300,6,0,1,1,14600
61821,2005,23,0,1,2,5600
61929,1600,23,0,2,2,35000
62045,2008,26,0,4,2,84090
62078,602,17,0,2,2,72050
62137,100,23,0,2,2,45000
62197,2004,26,0,2,2,99000
62204,1300,6,0,2,2,4300
62259,601,6,0,2,2,98800
62282,1100,13,0,0,2,0
62401,400,5,0,7,2,46100
62437,700,11,0,2,2,38700
62481,2003,23,0,2,2,46800
62546,1002,29,0,1,9,13630
62731,1600,9,0,3,1,20200
62789,100,20,0,3,2,8000
62838,700,17,0,0,2,0
62906,1500,20,0,1,2,21000
62988,2101,20,0,3,2,87200
62996,800,70,0,0,2,0
63077,2005,23,0,3,8,35000
63171,700,14,0,1,2,36000
63422,2101,29,0,1,2,6000
63445,1003,29,0,2,2,112260
63506,2102,18,0,1,2,10200
63575,602,26,0,6,2,48310
63604,1404,20,0,3,4,64200
63673,1300,5,0,2,2,71000
63868,700,12,0,4,2,50000
63873,1300,20,0,1,2,0
63939,1500,18,0,2,7,9090
63941,800,23,0,1,1,56000
64107,500,17,0,4,2,25830
64264,2008,26,0,2,2,57500
64327,2004,23,0,1,6,336070
64379,1202,0,2,1,  ,0
64408,2008,26,0,2,5,43400
64409,1402,29,0,2,2,28920
64483,2200,21,0,2,2,41800
64594,200,21,0,1,5,33500
